Date,Price,Open,High,Low,Change %
10/28/2021,3.59,3.58,3.59,3.58,2.28%
10/27/2021,3.51,3.48,3.52,3.48,0.00%
10/26/2021,3.51,3.48,3.51,3.47,0.29%
10/25/2021,3.5,3.46,3.5,3.46,0.57%
10/22/2021,3.48,3.48,3.49,3.47,0.00%
10/21/2021,3.48,3.48,3.48,3.47,0.58%
10/20/2021,3.46,3.42,3.46,3.42,1.47%
10/18/2021,3.41,3.41,3.41,3.4,0.00%
10/14/2021,3.41,3.39,3.41,3.39,0.00%
10/13/2021,3.41,3.41,3.42,3.41,0.00%
10-12-2021,3.41,3.43,3.43,3.4,-0.58%
10-11-2021,3.43,3.48,3.48,3.43,-0.87%
10-08-2021,3.46,3.47,3.49,3.43,-0.86%
10-07-2021,3.49,3.49,3.5,3.47,0.29%
10-06-2021,3.48,3.46,3.48,3.44,1.16%
10-05-2021,3.44,3.44,3.44,3.41,-0.58%
10-04-2021,3.46,3.46,3.47,3.45,-0.29%
10-01-2021,3.47,3.46,3.47,3.45,0.58%
09/30/2021,3.45,3.46,3.46,3.44,0.88%
09/29/2021,3.42,3.4,3.42,3.39,1.48%
09/28/2021,3.37,3.37,3.38,3.37,-0.30%
09/27/2021,3.38,3.37,3.38,3.36,0.30%
09/24/2021,3.37,3.36,3.37,3.34,0.30%
09/23/2021,3.36,3.36,3.36,3.34,0.30%
09/22/2021,3.35,3.34,3.4,3.33,1.21%
09/21/2021,3.31,3.32,3.32,3.3,0.30%
09/20/2021,3.3,3.32,3.34,3.3,0.00%
09/17/2021,3.3,3.3,3.34,3.3,-0.90%
09/16/2021,3.33,3.33,3.35,3.29,1.22%
09/15/2021,3.29,3.32,3.32,3.28,-0.60%
09/14/2021,3.31,3.3,3.31,3.27,0.00%
09/13/2021,3.31,3.29,3.32,3.29,0.00%
09-09-2021,3.31,3.31,3.32,3.29,0.30%
09-08-2021,3.3,3.3,3.3,3.27,0.30%
09-07-2021,3.29,3.28,3.3,3.27,-0.30%
09-06-2021,3.3,3.29,3.3,3.28,-0.30%
09-03-2021,3.31,3.3,3.31,3.29,0.30%
09-02-2021,3.3,3.3,3.3,3.28,0.00%
09-01-2021,3.3,3.3,3.3,3.29,-0.30%
08/31/2021,3.31,3.29,3.31,3.29,0.00%
08/30/2021,3.31,3.31,3.31,3.29,0.00%
08/27/2021,3.31,3.31,3.32,3.3,0.00%
08/26/2021,3.31,3.31,3.32,3.29,0.00%
08/25/2021,3.31,3.33,3.33,3.31,-0.60%
08/24/2021,3.33,3.33,3.34,3.32,-0.30%
08/23/2021,3.34,3.33,3.34,3.31,-0.30%
08/20/2021,3.35,3.35,3.35,3.34,-0.30%
08/18/2021,3.36,3.36,3.36,3.34,-0.59%
08/17/2021,3.38,3.38,3.39,3.36,0.60%
08/13/2021,3.36,3.38,3.38,3.36,-0.59%
08-12-2021,3.38,3.41,3.41,3.36,-0.59%
08-11-2021,3.4,3.4,3.4,3.37,0.00%
08-10-2021,3.4,3.39,3.4,3.39,0.59%
08-09-2021,3.38,3.37,3.39,3.37,-0.29%
08-06-2021,3.39,3.4,3.4,3.37,-0.29%
08-05-2021,3.4,3.41,3.41,3.39,-0.29%
08-04-2021,3.41,3.38,3.41,3.38,0.89%
08-03-2021,3.38,3.39,3.41,3.38,-0.88%
08-02-2021,3.41,3.4,3.41,3.39,0.00%
07/30/2021,3.41,3.41,3.42,3.39,0.29%
07/29/2021,3.4,3.41,3.41,3.38,0.29%
07/28/2021,3.39,3.41,3.41,3.38,-0.59%
07/27/2021,3.41,3.41,3.41,3.4,0.00%
07/26/2021,3.41,3.41,3.41,3.4,-0.29%
07/23/2021,3.42,3.42,3.42,3.4,-0.58%
07/22/2021,3.44,3.42,3.44,3.42,0.29%
07/20/2021,3.43,3.43,3.44,3.43,-0.29%
07/19/2021,3.44,3.45,3.45,3.42,0.00%
07/16/2021,3.44,3.45,3.47,3.42,0.29%
07/15/2021,3.43,3.45,3.46,3.41,-0.29%
07/14/2021,3.44,3.42,3.45,3.42,0.00%
07/13/2021,3.44,3.44,3.45,3.42,0.29%
07-12-2021,3.43,3.43,3.45,3.42,-0.87%
07-09-2021,3.46,3.43,3.46,3.43,1.17%
07-08-2021,3.42,3.46,3.46,3.42,0.00%
07-07-2021,3.42,3.43,3.44,3.39,0.00%
07-06-2021,3.42,3.41,3.42,3.41,0.29%
07-05-2021,3.41,3.4,3.42,3.4,0.00%
07-02-2021,3.41,3.4,3.41,3.39,0.29%
07-01-2021,3.4,3.47,3.47,3.38,0.00%
06/30/2021,3.4,3.42,3.42,3.38,-0.29%
06/29/2021,3.41,3.43,3.45,3.4,-0.87%
06/28/2021,3.44,3.45,3.45,3.42,0.58%
06/25/2021,3.42,3.44,3.48,3.41,-0.29%
06/24/2021,3.43,3.48,3.48,3.42,-0.87%
06/23/2021,3.46,3.46,3.47,3.44,-0.29%
06/22/2021,3.47,3.47,3.47,3.44,0.58%
06/21/2021,3.45,3.48,3.48,3.45,-0.86%
06/18/2021,3.48,3.47,3.48,3.45,0.29%
06/17/2021,3.47,3.48,3.49,3.44,0.87%
06/16/2021,3.44,3.42,3.44,3.42,0.88%
06/15/2021,3.41,3.41,3.42,3.41,-0.29%
06/14/2021,3.42,3.41,3.42,3.4,0.29%
06-11-2021,3.41,3.41,3.42,3.4,0.00%
06-10-2021,3.41,3.42,3.43,3.39,0.00%
06-09-2021,3.41,3.42,3.42,3.39,-0.58%
06-08-2021,3.43,3.43,3.43,3.41,0.29%
06-07-2021,3.42,3.43,3.43,3.42,-0.29%
06-04-2021,3.43,3.44,3.44,3.44,-0.29%
06-03-2021,3.44,3.43,3.44,3.43,0.58%
06-02-2021,3.42,3.41,3.42,3.4,0.00%
06-01-2021,3.42,3.42,3.42,3.41,0.29%
05/31/2021,3.41,3.41,3.42,3.4,0.00%
05/28/2021,3.41,3.4,3.42,3.4,0.00%
05/27/2021,3.41,3.41,3.42,3.41,0.00%
05/25/2021,3.41,3.38,3.42,3.38,0.89%
05/24/2021,3.38,3.38,3.39,3.38,-0.29%
05/21/2021,3.39,3.4,3.4,3.38,-0.29%
05/20/2021,3.4,3.4,3.42,3.37,0.29%
05/19/2021,3.39,3.4,3.43,3.39,0.30%
05/18/2021,3.38,3.39,3.4,3.38,-0.59%
05/17/2021,3.4,3.37,3.4,3.37,0.29%
05/14/2021,3.39,3.39,3.4,3.37,0.00%
05-12-2021,3.39,3.37,3.39,3.37,0.30%
05-11-2021,3.38,3.38,3.38,3.36,0.00%
05-10-2021,3.38,3.35,3.38,3.35,0.60%
05-07-2021,3.36,3.35,3.38,3.35,-0.30%
05-06-2021,3.37,3.34,3.38,3.34,0.90%
05-05-2021,3.34,3.33,3.35,3.33,0.30%
05-04-2021,3.33,3.33,3.34,3.33,-0.30%
05-03-2021,3.34,3.32,3.35,3.32,0.30%
04/30/2021,3.33,3.33,3.35,3.32,-0.30%
04/29/2021,3.34,3.34,3.34,3.32,0.30%
04/28/2021,3.33,3.33,3.33,3.3,0.00%
04/27/2021,3.33,3.32,3.33,3.31,0.00%
04/26/2021,3.33,3.33,3.33,3.31,0.00%
04/23/2021,3.33,3.34,3.35,3.3,-0.60%
04/22/2021,3.35,3.35,3.35,3.33,0.30%
04/20/2021,3.34,3.35,3.35,3.3,-0.30%
04/19/2021,3.35,3.35,3.35,3.34,0.30%
04/16/2021,3.34,3.34,3.35,3.33,0.00%
04/15/2021,3.34,3.36,3.37,3.33,-0.30%
04-12-2021,3.35,3.32,3.35,3.32,0.30%
04-09-2021,3.34,3.35,3.35,3.32,0.00%
04-08-2021,3.34,3.37,3.37,3.34,2.77%
04-07-2021,3.25,3.25,3.25,3.22,-0.91%
04-06-2021,3.28,3.26,3.28,3.23,0.92%
04-05-2021,3.25,3.29,3.29,3.22,-0.61%
03/31/2021,3.27,3.32,3.32,3.27,-1.21%
03/30/2021,3.31,3.33,3.35,3.28,0.00%
03/26/2021,3.31,3.31,3.32,3.29,-0.30%
03/25/2021,3.32,3.34,3.35,3.31,-0.30%
03/24/2021,3.33,3.33,3.34,3.3,0.00%
03/23/2021,3.33,3.32,3.33,3.3,0.00%
03/22/2021,3.33,3.34,3.34,3.32,0.00%
03/19/2021,3.33,3.33,3.33,3.31,0.30%
03/18/2021,3.32,3.32,3.35,3.31,-0.90%
03/17/2021,3.35,3.35,3.35,3.32,0.00%
03/16/2021,3.35,3.34,3.37,3.3,0.60%
03/15/2021,3.33,3.3,3.34,3.3,0.91%
03-12-2021,3.3,3.28,3.31,3.27,-0.60%
03-10-2021,3.32,3.3,3.33,3.29,0.00%
03-09-2021,3.32,3.31,3.35,3.3,0.30%
03-08-2021,3.31,3.28,3.31,3.28,0.91%
03-05-2021,3.28,3.23,3.28,3.23,0.92%
03-04-2021,3.25,3.25,3.25,3.24,-0.31%
03-03-2021,3.26,3.25,3.26,3.25,1.24%
03-02-2021,3.22,3.25,3.3,3.2,0.00%
03-01-2021,3.22,3.17,3.23,3.17,1.58%
02/26/2021,3.17,3.17,3.17,3.16,-0.31%
02/25/2021,3.18,3.18,3.2,3.15,-0.93%
02/24/2021,3.21,3.21,3.22,3.17,-0.31%
02/23/2021,3.22,3.23,3.23,3.2,0.31%
02/22/2021,3.21,3.25,3.25,3.2,-0.62%
02/18/2021,3.23,3.22,3.23,3.18,-2.42%
02/17/2021,3.31,3.29,3.31,3.29,0.00%
02/16/2021,3.31,3.31,3.31,3.3,-0.30%
02/15/2021,3.32,3.33,3.33,3.3,-0.30%
02-12-2021,3.33,3.34,3.36,3.3,-0.60%
02-11-2021,3.35,3.37,3.37,3.35,-0.89%
02-10-2021,3.38,3.38,3.38,3.35,0.00%
02-09-2021,3.38,3.36,3.38,3.35,0.30%
02-08-2021,3.37,3.38,3.38,3.35,0.00%
02-05-2021,3.37,3.39,3.4,3.37,-0.30%
02-04-2021,3.38,3.39,3.4,3.37,0.00%
02-03-2021,3.38,3.37,3.38,3.34,0.60%
02-02-2021,3.36,3.35,3.38,3.35,0.30%
02-01-2021,3.35,3.37,3.4,3.34,-0.59%
01/29/2021,3.37,3.36,3.37,3.36,0.30%
01/28/2021,3.36,3.36,3.37,3.35,0.90%
01/27/2021,3.33,3.37,3.38,3.32,-1.19%
01/25/2021,3.37,3.34,3.37,3.33,1.51%
01/22/2021,3.32,3.34,3.34,3.32,0.00%
01/21/2021,3.32,3.33,3.35,3.3,0.00%
01/20/2021,3.32,3.33,3.33,3.3,-0.30%
01/19/2021,3.33,3.33,3.33,3.29,0.60%
01/18/2021,3.31,3.31,3.33,3.3,0.61%
01/15/2021,3.29,3.31,3.37,3.29,-0.60%
01/14/2021,3.31,3.3,3.31,3.27,1.22%
01/13/2021,3.27,3.27,3.28,3.27,-0.30%
01-12-2021,3.28,3.27,3.3,3.27,0.00%
01-11-2021,3.28,3.06,3.32,3.06,7.19%
01-08-2021,3.06,3.06,3.06,3.06,0.33%
01-07-2021,3.05,3.06,3.07,3.04,-0.97%
01-06-2021,3.08,3.02,3.08,3.02,0.98%
01-05-2021,3.05,3.04,3.1,3.02,0.66%
01-04-2021,3.03,3.03,3.03,3.02,0.00%
01-01-2021,3.03,3.05,3.05,3.02,-1.30%
12/31/2020,3.07,3.08,3.08,3.06,0.00%
12/30/2020,3.07,3.11,3.11,3.05,-1.29%
12/29/2020,3.11,3.13,3.13,3.1,-0.32%
12/28/2020,3.12,3.13,3.15,3.11,-0.32%
12/24/2020,3.13,3.13,3.13,3.12,0.00%
12/23/2020,3.13,3.14,3.14,3.11,-0.32%
12/22/2020,3.14,3.12,3.14,3.12,0.32%
12/21/2020,3.13,3.13,3.15,3.12,0.64%
12/18/2020,3.11,3.13,3.13,3.11,-0.64%
12/17/2020,3.13,3.15,3.15,3.11,0.32%
12/16/2020,3.12,3.12,3.13,3.11,0.32%
12/15/2020,3.11,3.11,3.12,3.1,0.00%
12/14/2020,3.11,3.11,3.13,3.11,0.00%
12-11-2020,3.11,3.1,3.12,3.1,0.97%
12-10-2020,3.08,3.1,3.12,3.08,0.33%
12-09-2020,3.07,3.04,3.08,3.04,1.32%
12-08-2020,3.03,3.01,3.06,3.01,0.00%
12-07-2020,3.03,3.05,3.05,3.02,0.66%
12-04-2020,3.01,3.08,3.08,2.97,-1.31%
12-03-2020,3.05,3.06,3.08,3.05,0.99%
12-02-2020,3.02,2.97,3.03,2.96,2.03%
12-01-2020,2.96,2.93,2.96,2.92,1.02%
11/27/2020,2.93,2.94,2.94,2.89,-0.34%
11/26/2020,2.94,2.95,2.96,2.94,-1.34%
11/25/2020,2.98,3.05,3.05,2.98,-1.97%
11/24/2020,3.04,3.02,3.04,3.02,1.33%
11/23/2020,3,3,3.01,3,0.33%
11/20/2020,2.99,2.97,3,2.97,0.34%
11/19/2020,2.98,3,3.05,2.95,-3.56%
11/18/2020,3.09,3.09,3.1,3.08,-1.59%
11/17/2020,3.14,3.13,3.14,3.12,0.00%
11/13/2020,3.14,3.14,3.15,3.12,0.00%
11-12-2020,3.14,3.19,3.19,3.12,-2.18%
11-11-2020,3.21,3.18,3.21,3.18,-0.62%
11-10-2020,3.23,3.22,3.23,3.18,2.54%
11-09-2020,3.15,3.13,3.16,3.12,-0.32%
11-06-2020,3.16,3.2,3.2,3.16,-1.56%
11-05-2020,3.21,3.22,3.22,3.19,-0.62%
11-04-2020,3.23,3.24,3.24,3.19,0.31%
11-03-2020,3.22,3.23,3.24,3.21,-0.62%
11-02-2020,3.24,3.21,3.24,3.21,0.31%
10/29/2020,3.23,3.23,3.23,3.19,0.31%
10/28/2020,3.22,3.22,3.24,3.22,0.62%
10/27/2020,3.2,3.22,3.22,3.2,-1.23%
10/26/2020,3.24,3.23,3.24,3.21,0.93%
10/23/2020,3.21,3.21,3.21,3.18,0.00%
10/22/2020,3.21,3.22,3.22,3.18,0.63%
10/21/2020,3.19,3.26,3.26,3.17,-1.85%
10/20/2020,3.25,3.26,3.26,3.23,0.00%
10/19/2020,3.25,3.24,3.27,3.23,0.31%
10/16/2020,3.24,3.28,3.29,3.24,0.00%
10/15/2020,3.24,3.29,3.29,3.24,-1.52%
10/14/2020,3.29,3.28,3.29,3.25,0.00%
10/13/2020,3.29,3.27,3.29,3.27,0.00%
10-12-2020,3.29,3.29,3.3,3.27,0.00%
10-09-2020,3.29,3.3,3.3,3.27,0.30%
10-08-2020,3.28,3.3,3.3,3.26,0.00%
10-07-2020,3.28,3.32,3.32,3.27,-1.20%
10-06-2020,3.32,3.32,3.32,3.28,0.00%
10-05-2020,3.32,3.32,3.33,3.32,1.84%
10-01-2020,3.26,3.3,3.31,3.26,-1.51%
09/30/2020,3.31,3.34,3.34,3.29,-1.78%
09/29/2020,3.37,3.39,3.39,3.36,-0.30%
09/28/2020,3.38,3.38,3.4,3.37,-0.29%
09/25/2020,3.39,3.39,3.39,3.37,0.00%
09/24/2020,3.39,3.39,3.4,3.36,0.30%
09/23/2020,3.38,3.36,3.38,3.34,-0.29%
09/22/2020,3.39,3.36,3.39,3.35,0.59%
09/21/2020,3.37,3.35,3.39,3.32,0.60%
09/18/2020,3.35,3.35,3.35,3.32,0.00%
09/17/2020,3.35,3.34,3.36,3.32,0.00%
09/16/2020,3.35,3.35,3.35,3.31,0.60%
09/15/2020,3.33,3.38,3.38,3.3,-0.60%
09/14/2020,3.35,3.35,3.35,3.33,0.30%
09-11-2020,3.34,3.3,3.34,3.3,0.60%
09-10-2020,3.32,3.3,3.32,3.3,1.84%
09-09-2020,3.26,3.28,3.32,3.25,-0.31%
09-08-2020,3.27,3.27,3.27,3.26,0.31%
09-07-2020,3.26,3.26,3.28,3.25,-0.31%
09-04-2020,3.27,3.27,3.28,3.23,0.31%
09-03-2020,3.26,3.23,3.26,3.23,0.00%
09-02-2020,3.26,3.26,3.29,3.25,-0.61%
09-01-2020,3.28,3.29,3.29,3.25,-0.30%
08/31/2020,3.29,3.3,3.3,3.27,-0.60%
08/28/2020,3.31,3.31,3.31,3.27,0.00%
08/27/2020,3.31,3.29,3.31,3.27,0.91%
08/26/2020,3.28,3.31,3.31,3.25,0.31%
08/25/2020,3.27,3.24,3.29,3.24,0.62%
08/24/2020,3.25,3.21,3.25,3.21,1.88%
08/21/2020,3.19,3.18,3.19,3.17,0.63%
08/20/2020,3.17,3.18,3.18,3.15,-3.06%
08/19/2020,3.27,3.29,3.29,3.27,-0.61%
08/18/2020,3.29,3.29,3.3,3.28,-0.60%
08/17/2020,3.31,3.28,3.32,3.28,0.30%
08/14/2020,3.3,3.29,3.33,3.29,0.30%
08/13/2020,3.29,3.29,3.31,3.29,-0.90%
08-12-2020,3.32,3.37,3.37,3.31,0.30%
08-11-2020,3.31,3.34,3.36,3.3,-0.30%
08-10-2020,3.32,3.32,3.35,3.32,0.61%
08-07-2020,3.3,3.3,3.31,3.3,0.00%
08-06-2020,3.3,3.3,3.32,3.3,0.00%
08-05-2020,3.3,3.32,3.35,3.3,0.00%
08-04-2020,3.3,3.33,3.33,3.3,0.00%
08-03-2020,3.3,3.32,3.33,3.29,-0.30%
07/31/2020,3.31,3.32,3.34,3.29,-0.30%
07/30/2020,3.32,3.32,3.34,3.32,0.00%
07/29/2020,3.32,3.28,3.34,3.28,0.00%
07/28/2020,3.32,3.3,3.32,3.29,0.61%
07/27/2020,3.3,3.3,3.31,3.28,0.30%
07/24/2020,3.29,3.27,3.3,3.27,0.30%
07/23/2020,3.28,3.29,3.3,3.28,0.92%
07/22/2020,3.25,3.26,3.28,3.24,0.00%
07/21/2020,3.25,3.25,3.26,3.22,-0.61%
07/20/2020,3.27,3.24,3.27,3.23,0.93%
07/17/2020,3.24,3.23,3.26,3.23,0.00%
07/16/2020,3.24,3.25,3.26,3.21,0.31%
07/15/2020,3.23,3.22,3.23,3.21,0.31%
07/14/2020,3.22,3.19,3.22,3.19,0.31%
07/13/2020,3.21,3.19,3.21,3.18,0.63%
07-10-2020,3.19,3.19,3.23,3.19,-0.62%
07-09-2020,3.21,3.19,3.21,3.19,0.94%
07-08-2020,3.18,3.19,3.19,3.17,-0.62%
07-07-2020,3.2,3.16,3.2,3.16,0.95%
07-06-2020,3.17,3.17,3.21,3.17,0.00%
07-03-2020,3.17,3.16,3.2,3.16,0.63%
07-02-2020,3.15,3.16,3.19,3.15,0.32%
07-01-2020,3.14,3.15,3.18,3.14,-0.32%
06/30/2020,3.15,3.16,3.18,3.15,-0.63%
06/29/2020,3.17,3.17,3.2,3.17,-0.31%
06/26/2020,3.18,3.2,3.2,3.16,0.00%
06/25/2020,3.18,3.21,3.25,3.18,-0.93%
06/24/2020,3.21,3.3,3.3,3.21,-2.13%
06/23/2020,3.28,3.28,3.3,3.28,-0.91%
06/22/2020,3.31,3.28,3.32,3.26,0.91%
06/19/2020,3.28,3.3,3.3,3.25,0.00%
06/18/2020,3.28,3.32,3.32,3.25,-0.61%
06/17/2020,3.3,3.36,3.36,3.29,-1.49%
06/16/2020,3.35,3.37,3.37,3.3,0.00%
06/15/2020,3.35,3.36,3.36,3.29,0.00%
06-12-2020,3.35,3.41,3.41,3.32,-0.59%
06-11-2020,3.37,3.46,3.46,3.35,-1.75%
06-10-2020,3.43,3.46,3.46,3.43,-0.58%
06-09-2020,3.45,3.47,3.47,3.42,-0.29%
06-08-2020,3.46,3.47,3.47,3.44,-0.86%
06-05-2020,3.49,3.45,3.49,3.4,1.45%
06-04-2020,3.44,3.4,3.45,3.4,2.69%
06-03-2020,3.35,3.37,3.4,3.35,1.52%
06-02-2020,3.3,3.35,3.35,3.3,0.30%
06-01-2020,3.29,3.29,3.31,3.25,0.61%
05/29/2020,3.27,3.3,3.3,3.22,1.24%
05/28/2020,3.23,3.23,3.26,3.17,4.19%
05/27/2020,3.1,3.05,3.1,3.03,1.64%
05/26/2020,3.05,3.03,3.05,3,12.96%
05/22/2020,2.7,3.27,3.27,2.68,-17.43%
05/21/2020,3.27,3.3,3.3,3.22,0.62%
05/20/2020,3.25,3.39,3.4,3.25,-3.56%
05/19/2020,3.37,3.41,3.41,3.37,-0.88%
05/18/2020,3.4,3.4,3.4,3.35,-0.29%
05/15/2020,3.41,3.48,3.48,3.37,-1.16%
05/14/2020,3.45,3.52,3.52,3.42,0.00%
05/13/2020,3.45,3.58,3.58,3.45,-1.43%
05-12-2020,3.5,3.57,3.6,3.5,-1.96%
05-11-2020,3.57,3.56,3.58,3.55,0.85%
05-08-2020,3.54,3.55,3.56,3.54,-0.28%
05-06-2020,3.55,3.63,3.63,3.53,-2.74%
05-05-2020,3.65,3.58,3.65,3.58,0.55%
05-04-2020,3.63,3.65,3.65,3.6,-0.27%
04/30/2020,3.64,3.68,3.69,3.64,-1.09%
04/29/2020,3.68,3.7,3.7,3.6,0.82%
04/28/2020,3.65,3.67,3.7,3.65,0.83%
04/27/2020,3.62,3.65,3.7,3.62,-0.82%
04/24/2020,3.65,3.65,3.7,3.65,-0.27%
04/23/2020,3.66,3.65,3.7,3.65,0.27%
04/22/2020,3.65,3.81,3.84,3.65,-3.95%
04/21/2020,3.8,3.88,3.88,3.8,-1.30%
04/20/2020,3.85,3.92,3.92,3.85,-1.28%
04/17/2020,3.9,4.11,4.11,3.9,-3.94%
04/16/2020,4.06,4.14,4.14,4.05,-0.49%
04/15/2020,4.08,4.2,4.2,4.08,-2.63%
04/13/2020,4.19,4.25,4.27,4.19,-1.41%
04-09-2020,4.25,4.3,4.3,4.23,3.66%
04-08-2020,4.1,4.16,4.16,4.1,0.00%
04-07-2020,4.1,4.16,4.16,4.1,-4.43%
04-03-2020,4.29,4.29,4.3,4.25,0.94%
03/31/2020,4.25,4.39,4.4,4.25,-1.16%
03/30/2020,4.3,4.3,4.35,4.28,0.94%
03/27/2020,4.26,5.07,5.09,4.26,-15.48%
03/26/2020,5.04,5.15,5.15,5.04,-0.20%
03/24/2020,5.05,4.75,5.05,4.72,6.99%
03/23/2020,4.72,4.74,4.75,4.72,-1.46%
03/20/2020,4.79,4.83,4.88,4.79,-1.84%
03/19/2020,4.88,4.85,4.88,4.85,0.00%
03/18/2020,4.88,4.87,4.9,4.85,1.67%
03/17/2020,4.8,4.78,4.83,4.78,1.48%
03/16/2020,4.73,4.85,4.9,4.73,-3.07%
03/13/2020,4.88,4.85,4.88,4.84,0.00%
03-12-2020,4.88,4.87,4.88,4.85,0.62%
03-11-2020,4.85,4.82,4.88,4.82,-1.02%
03-09-2020,4.9,4.87,4.92,4.87,-1.21%
03-06-2020,4.96,4.83,4.96,4.82,0.81%
03-05-2020,4.92,4.97,4.97,4.92,-1.99%
03-04-2020,5.02,5.05,5.05,5.02,-1.95%
03-03-2020,5.12,5.07,5.12,5.07,0.79%
03-02-2020,5.08,5.08,5.1,5.07,0.00%
02/28/2020,5.08,5.08,5.08,5.05,0.00%
02/27/2020,5.08,5.1,5.1,5.07,-0.20%
02/26/2020,5.09,5.06,5.1,5.03,0.39%
02/25/2020,5.07,5.06,5.08,5.05,0.20%
02/24/2020,5.06,5.05,5.1,5.03,-0.20%
02/20/2020,5.07,5.07,5.08,5.06,-0.20%
02/18/2020,5.08,5.11,5.11,5.07,-0.78%
02/17/2020,5.12,5.13,5.13,5.09,0.20%
02/14/2020,5.11,5.11,5.13,5.08,0.00%
02/13/2020,5.11,5.12,5.13,5.1,-0.20%
02-12-2020,5.12,5.11,5.13,5.11,0.59%
02-11-2020,5.09,5.09,5.09,5.07,-0.20%
02-10-2020,5.1,5.12,5.15,5.1,-0.20%
02-07-2020,5.11,5.13,5.15,5.1,-0.78%
02-06-2020,5.15,5.14,5.19,5.13,0.39%
02-05-2020,5.13,5.13,5.13,5.11,0.20%
02-04-2020,5.12,5.13,5.13,5.11,0.20%
02-03-2020,5.11,5.1,5.14,5.1,-0.39%
01/31/2020,5.13,5.13,5.15,5.13,0.20%
01/30/2020,5.12,5.11,5.15,5.11,0.39%
01/29/2020,5.1,5.11,5.11,5.09,-0.20%
01/28/2020,5.11,5.11,5.11,5.09,0.20%
01/27/2020,5.1,5.11,5.13,5.09,-0.39%
01/24/2020,5.12,5.12,5.12,5.09,0.00%
01/23/2020,5.12,5.14,5.14,5.1,0.20%
01/22/2020,5.11,5.07,5.13,5.07,0.20%
01/21/2020,5.1,5.09,5.11,5.09,-0.20%
01/20/2020,5.11,5.11,5.12,5.1,0.20%
01/17/2020,5.1,5.12,5.13,5.1,-0.39%
01/16/2020,5.12,5.15,5.15,5.11,0.39%
01/15/2020,5.1,5.1,5.12,5.1,0.59%
01/14/2020,5.07,5.07,5.08,5.06,0.40%
01/13/2020,5.05,5.04,5.07,5.04,0.00%
01-10-2020,5.05,5.05,5.07,5.02,0.00%
01-09-2020,5.05,5.02,5.06,5.01,0.60%
01-08-2020,5.02,5.02,5.04,5.02,0.20%
01-07-2020,5.01,5,5.04,4.99,0.60%
01-06-2020,4.98,4.98,5.02,4.97,-0.20%
01-03-2020,4.99,4.97,5.03,4.97,0.40%
01-02-2020,4.97,4.97,4.97,4.95,-1.39%
01-01-2020,5.04,5.06,5.08,5.03,-0.20%
